x,y
214.98279058,762.690363244
1222.03939036,229.562123165
792.696139347,404.54195831
1042.54875636,709.851016022
150.175338839,25.5127288698
1337.22416627,389.490361115
1219.64813193,1.895448016
712.619510488,649.386029107
366.019554033,850.743625999
1442.28393218,27.5309847302
40.7133775895,487.271225514
1502.63866045,343.083813919
346.559035409,379.904918024
46.4652601198,199.522499646
700.620149841,446.231017244
372.935120412,207.779887387
350.04965974,413.643119164
463.650583345,19.3407347393
1340.12476106,500.808890387
1027.67098069,167.315639305
1588.06945948,773.951875916
193.423935689,299.425666824
1154.37505213,640.072592726
1498.30493888,379.896299965
1328.05710924,603.275009773
485.389617493,528.822545529
1411.96640133,761.577676585
808.454112927,530.102032184
55.2413282421,218.465976189
1275.84679609,372.882599371
276.811842526,493.918885249
1124.86521931,607.037247452
599.524832803,395.06546704
813.4823812,700.5983535
833.501468181,353.929585468
783.50963274,26.6174675702
69.5796645704,633.043879743
1573.1003477,533.865357342
629.759498205,153.31427717
803.581693494,883.868973785
1232.83702373,485.655703605
1376.46364627,208.958515257
822.0346611,857.220649441
924.471692482,413.21855872
430.847163906,493.19667852
1531.38605034,5.13821650535
1253.84837218,738.437320733
1417.88732932,666.45307065
1294.6238414,466.810455171
898.172583645,383.481611719
89.7972760332,783.009139659
911.998934202,179.855478159
807.552747886,436.432601005
570.863943272,311.470127116
861.566073181,561.140507518
979.923943652,412.33212009
44.7599745341,206.644528149
283.538014302,526.014783701
1377.61417737,718.59504652
1275.35610022,734.793633505
408.47046414,757.570349047
1076.9816407,74.9107240235
26.7050081849,13.1039774323
1208.9388404,224.603303088
